記事番号,棚,ファイル名,現在の記述,修正案,根拠,出典,検出バッチ,採否,対応日
297,fashion,297_fashion_sunglasses-storage-and-lenses.md,**可視光線透過率8%未満は運転不可**（JIS）。**夜間・トンネルでは濃いレンズは危険**。**偏光レンズはカーナビの液晶が見えにくい**ことがあります。,**可視光線透過率8%以下は運転用・路上での使用ができません**（JIS）。**75%未満は薄暮・夜間の運転に使えません**。**偏光レンズはカーナビの液晶が見えにくい**ことがあります。,上の表と同じ境界値の問題。JISは「8%以下」が運転用禁止、「75%未満」が薄暮・夜間の運転用禁止。,https://kikakurui.com/t7/T7333-2018-01.html,jr_049,,
297,fashion,297_fashion_sunglasses-storage-and-lenses.md,**価格と無関係に、表示があれば紫外線はカットされます。** 違いは**レンズの歪み・耐久性・フレームの品質**。**表示のないものは避ける**。,**価格よりも表示で選びます。** ただし**表示が実際の値と合っていない製品もある**ため、**表示のないものは避け、販売店で確認を**。違いは**レンズの歪み・耐久性・フレームの品質**。,NITEの試買テスト（サングラス）では20銘柄中12銘柄が表示規程に不適合（品名・可視光線透過率の表示誤り等）。「表示があればカットされる」と断定できない。,https://www.nite.go.jp/data/000004561.pdf; https://www.pref.kanagawa.jp/docs/r7b/cnt/f370222/p1224229.html,jr_049,,
298,fashion,298_fashion_underarm-sweat-stains.md,**塩素系は制汗剤のアルミニウムと反応してかえって黄変・生地の傷み**を起こすことがあります。**酸素系**が基本。,**塩素系は残った汗のたんぱく質や皮脂と反応してかえって黄変し、生地も傷める**ことがあります。**酸素系**が基本。,脇の黄変の機構としては「アルミニウム塩＋汗のたんぱく質・皮脂の酸化」が説明されるが、塩素系漂白剤がアルミニウムと反応して黄変するという説明は確認できない。塩素系の黄変はたんぱく質等の残留成分との反応として説明される。,https://coromoe.jp/%E3%83%87%E3%82%AA%E3%83%89%E3%83%A9%E3%83%B3%E3%83%88%E5%89%A4%E3%81%AE%E9%BB%84%E3%81%B0%E3%81%BF%E3%83%BB%E7%99%BD%E3%81%84%E8%B7%A1%E3%82%92%E5%AE%8C%E5%85%A8%E9%99%A4%E5%8E%BB%EF%BC%81%E8%A1%A3/; https://jsda.org/w/04_yakud/index.html,jr_049,,
298,fashion,298_fashion_underarm-sweat-stains.md,**貼るタイプの汗取りパッドはシャツの寿命を延ばす最も確実な予防**で、日本では日用品として定着しています。**インナー（脇汗パッド付き）**も同様。,**貼るタイプの汗取りパッドは、汗と制汗剤が生地に直接つくのを防ぐ実用的な方法**で、日本では日用品として定着しています。**インナー（脇汗パッド付き）**も同様。,「最も確実な予防」は比較検証の裏づけがなく断定が強すぎる。,,jr_049,,
298,fashion,298_fashion_underarm-sweat-stains.md,- 日本石鹸洗剤工業会「漂白剤の種類と使い方」   https://jsda.org/w/index.html,- 日本石鹸洗剤工業会「役立つ情報（洗剤・漂白剤の使い方）」   https://jsda.org/w/04_yakud/index.html,jsda.org/w/index.html はサイトのトップで、「漂白剤の種類と使い方」という個別ページを指していない。一般消費者向け解説は「役立つ情報」配下（/w/04_yakud/）にある。,https://jsda.org/w/04_yakud/index.html; https://jsda.org/w/map.html,jr_049,,
299,fashion,299_fashion_shoe-odour.md,| **湿気** | 足は1日約200mLの汗。靴の中は**湿度90%・35℃前後**になる | **1日履いたら1〜2日乾かす**、**中敷きを外す**、**乾燥剤・新聞紙・木製シューキーパー** |,| **湿気** | 足は1日にコップ1杯（約200mL）ほどの汗。靴の中は**高温多湿になり、湿度が90%を超えることもある**とされる | **1日履いたら1〜2日乾かす**、**中敷きを外す**、**乾燥剤・新聞紙・木製シューキーパー** |,「湿度90%・35℃前後」という具体値の一次資料は見つからない。メーカー調査等では革靴内の湿度が99%以上に達するとの記載もあり、断定的な数値は避けるのが安全。,https://prtimes.jp/main/html/rd/p/000000042.000010075.html; https://dime.jp/genre/474495/,jr_049,,
300,fashion,300_fashion_how-to-lace-and-wear-shoes.md,- 公益社団法人日本整形外科学会「外反母趾」   https://www.joa.or.jp/public/sick/,- 公益社団法人日本整形外科学会「外反母趾」   https://www.joa.or.jp/public/sick/condition/hallux_valgus.html,/public/sick/ は症状・病気の一覧ページ。外反母趾の該当ページは condition/hallux_valgus.html。,https://www.joa.or.jp/public/sick/condition/hallux_valgus.html,jr_049,,
300,fashion,300_fashion_how-to-lace-and-wear-shoes.md,- 消費者庁「子どもの靴の選び方・事故防止」   https://www.caa.go.jp/policies/policy/consumer_safety/child/,- 消費者庁「こどもの事故防止」   https://www.caa.go.jp/policies/policy/consumer_safety/child/,このURLの実際のページ名は「こどもの事故防止」で、子どもの靴の選び方を扱った資料ではない。出典名が実際の資料名と一致していない。,https://www.caa.go.jp/policies/policy/consumer_safety/child/,jr_049,,
301,health,301_health_bath-timing-before-bed.md,- 消費者庁「冬季に多発する高齢者の入浴中の事故に注意」   https://www.caa.go.jp/policies/policy/consumer_safety/caution/,- 消費者庁「冬季に多発する高齢者の入浴中の事故に御注意ください！」   https://www.caa.go.jp/policies/policy/consumer_safety/caution/caution_042,正式名称は「冬季に多発する高齢者の入浴中の事故に御注意ください！」。現行URLは caution_042（旧版は caution_013）。記載のURLは注意喚起の一覧ページで、湯温41度以下・10分までの記述を含まない。,https://www.caa.go.jp/policies/policy/consumer_safety/caution/caution_042; https://www.caa.go.jp/policies/policy/consumer_safety/caution/caution_013,jr_050,,
301,health,301_health_bath-timing-before-bed.md,**長時間の入浴は脱水と疲労**を招き、かえって眠りを妨げます。**10〜15分**が目安（半身浴の記事を参照）。,**長時間の入浴は脱水と疲労**を招き、かえって眠りを妨げます。**湯につかるのは10分まで**が消費者庁の示す目安です（半身浴の記事を参照）。,表では消費者庁の「41℃以下・10分程度」を挙げながら、誤解3では「10〜15分」としており記事内で不一致。消費者庁の注意喚起は「湯につかる時間は10分まで」。,https://www.caa.go.jp/policies/policy/consumer_safety/caution/caution_042,jr_050,,
303,health,303_health_mattress-firmness.md,- 公益社団法人日本整形外科学会「腰痛」（生活上の注意・寝具）   https://www.joa.or.jp/public/sick/,- 公益社団法人日本整形外科学会「腰痛」（症状・病気をしらべる）   https://www.joa.or.jp/public/sick/condition/lumbago.html,日本整形外科学会の「腰痛」解説ページの実URLは /public/sick/condition/lumbago.html。記載のURLは症状一覧の入口で、本文が引用する寝具の記述を含まない。,https://www.joa.or.jp/public/sick/condition/lumbago.html; https://www.joa.or.jp/public/sick/body/index.html,jr_050,,
305,health,305_health_chewing-well.md,"| 1食の噛む回数（推定） | **戦前 約1,400回**→**現代 約600回** | 歯科・栄養学の推定（斉藤滋らの研究） |","| 1食の噛む回数（推定） | **戦前 約1,400回**→**現代 約600回** | 歯科・栄養学の推定（斎藤滋・神奈川歯科大学の復元食による推計） |","この推計は神奈川歯科大学の斎藤滋氏によるもの（戦前1,420回／22分、現代620回／11分）。人名の表記は「斎藤滋」。",https://www.kawasemi-dc.jp/_cms/6687/; https://admcom.co.jp/admwp/?p=1397,jr_050,,
306,health,306_health_sugar-intake.md,**「糖類ゼロ」は100mLあたり0.5g未満**の意味で、**人工甘味料や糖アルコール**が使われます。**甘味への慣れ**の点で注意が必要とする見解があります。,**「糖類ゼロ」は食品100gあたり（飲料は100mLあたり）0.5g未満**の意味で、**人工甘味料や糖アルコール**が使われます。**WHOは2023年、体重管理や生活習慣病予防を目的とした非糖質甘味料の使用を推奨しない**という指針を出しています。,食品表示基準の「無」「ゼロ」の基準値は一般食品が100gあたり0.5g未満、飲料が100mLあたり0.5g未満。またWHOは2023年5月に非糖質甘味料に関するガイドラインを公表し、体重管理・非感染性疾患予防を目的とした使用を推奨しないとしている。「甘味への慣れ」という曖昧な表現より公的指針を示すほうが正確。,https://www.alic.go.jp/joho-s/joho07_003409.html; https://www.ncbi.nlm.nih.gov/books/NBK592245/; https://www.caa.go.jp/policies/council/fssc/meeting_materials/assets/fscc_cms101_241203_02.pdf,jr_051,,
306,health,306_health_sugar-intake.md,| 栄養成分表示 | **「糖類」の表示は任意**。義務は「炭水化物」 | 消費者庁 |,| 栄養成分表示 | **「糖類」の表示は任意**。義務は熱量・たんぱく質・脂質・炭水化物・食塩相当量の5項目 | 消費者庁 |,食品表示基準の義務表示は熱量・たんぱく質・脂質・炭水化物・食塩相当量の5項目。糖類は推奨/任意表示。義務が「炭水化物」だけであるかのような記述は不正確。,https://www.caa.go.jp/policies/policy/food_labeling/nutrient_declearation/; https://www.hokeniryo1.metro.tokyo.lg.jp/shokuhin/hyouji/shokuhyouhou_eiyou_kyouchou.html,jr_051,,
307,health,307_health_taking-the-stairs.md,| 階段を下る | **約3〜4メッツ** | 同上 |,| 階段を下る | **約3.5メッツ** | 同上 |,メッツ表の「階段を下りる」は3.5メッツ。幅を持たせる必要がない。,https://www.nibn.go.jp/eiken/programs/2011mets.pdf,jr_051,,
307,health,307_health_taking-the-stairs.md,- ガイド2023は**「+10（プラス・テン）」＝今より10分多く動く**を掲げ、**エレベーターを階段に**を代表例にしています。,- ガイド2023に基づく**「アクティブガイド2023」**は、**「座りっぱなしをやめて＋10（プラス・テン）＝SW10（スイッチ・テン）」**を掲げ、**エレベーターを階段に**を代表例にしています。,「＋10」は2013年の身体活動基準に伴う『アクティブガイド』のメインメッセージ。2023年版に対応する国民向け普及版は「アクティブガイド2023」で、2024年12月に『座りっぱなしをやめて＋10＝SW10（スイッチ・テン）』として公表された。ガイド2023本体の標語として書くのは不正確。,https://www.e-healthnet.mhlw.go.jp/information/exercise/s-0-001.html; https://healthy-life21.com/2024/12/23/20241223/,jr_051,,
307,health,307_health_taking-the-stairs.md,- **階段の事故**：消費者庁は**高齢者の階段での転倒**を住宅内事故の上位に挙げ、**手すり・照明・滑り止め**を勧めています。,- **階段の事故**：消費者庁によると高齢者の転倒場所は庭26.5%、玄関・ホール19.0%、居間17.0%、廊下13.5%に次いで**階段12.5%**。**手すり・足元灯・滑り止め**が勧められています。,消費者庁「10月10日は『転倒予防の日』」（令和2年）では、転倒場所は庭26.5%、玄関・ホール・ポーチ19.0%、居間17.0%、廊下13.5%、階段12.5%の順。階段は5番目で「上位」という表現は実態より強い。,https://www.caa.go.jp/policies/policy/consumer_safety/caution/caution_040; https://www.caa.go.jp/policies/policy/consumer_safety/caution/caution_040/assets/consumer_safety_cms204_201008_01.pdf,jr_051,,
309,health,309_health_air-conditioning-and-health.md,| 熱中症死亡者 | **65歳以上が約8割**、**屋内での死亡の多くが冷房未使用または未設置** | 東京都監察医務院・厚生労働省 |,| 熱中症死亡者 | **65歳以上が約8割**（人口動態統計）。東京都23区の屋内死亡例では**44.9%がエアコン不使用、29.4%が未設置、10.0%が故障** | 東京都監察医務院・厚生労働省 |,東京都監察医務院・東京大学の分析（2013〜2023年、東京都23区）では、屋内死亡例の44.9%がエアコンをオフ、29.4%が未設置、10.0%が故障。記事の趣旨は正しいが、具体数値を入れると根拠が明確になる。,https://www.metro.tokyo.lg.jp/information/press/2025/06/2025062014; https://himan.jp/news/2025/000999.html,jr_051,,
309,health,309_health_air-conditioning-and-health.md,- 東京都監察医務院「東京都23区における熱中症死亡者の状況」   https://www.hokeniryo.metro.tokyo.lg.jp/kansatsu/,- 東京都監察医務院「夏の熱中症死亡者数の状況（東京都23区）」   https://www.hokeniryo.metro.tokyo.lg.jp/shisetsu/jigyosyo/kansatsu/heatstroke/,熱中症死亡者数の公表ページは /shisetsu/jigyosyo/kansatsu/heatstroke/ 配下（令和6年夏の確定値ページ等）。記事のURLは監察医務院トップで、該当資料を直接指していない。,https://www.hokeniryo.metro.tokyo.lg.jp/shisetsu/jigyosyo/kansatsu/heatstroke/r06-heatstroke,jr_051,,
310,health,310_health_vitamin-d-and-sunlight.md,https://www.nies.go.jp/whatsnew/2013/20130830/20130830.html,https://www.nies.go.jp/pr/news-and-updates/2013/20130830/20130830.html,国立環境研究所のサイト改修により、当該プレスリリースの現行URLは /pr/news-and-updates/ 配下。旧URLは web2.nies.go.jp へのアーカイブ扱い。,https://www.nies.go.jp/pr/news-and-updates/2013/20130830/20130830.html,jr_051,,
311,trend,311_trend_storing-garlic-and-ginger.md,- 厚生労働省「家庭でできる食中毒予防の6つのポイント」   https://www.mhlw.go.jp/www1/houdou/0903/h0331-1.html,- 厚生労働省「家庭でできる食中毒予防の6つのポイント」   https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/AA10K-0000049664.html,記載URL（www1/houdou/0903/h0331-1.html）は1997年（平成9年）の報道発表アーカイブ。現行の掲載ページは食品衛生月間の配下にある。,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/AA10K-0000049664.html,jr_052,,
312,trend,312_trend_storing-cheese.md,**硬いチーズは周囲を厚めに切り取れば使える**とされます。**柔らかいチーズ・シュレッド・スライスは処分**。**白カビ・青カビチーズの本来のカビは食用**。,**硬いチーズは周囲を厚めに切り取れば使える**とされます。**柔らかいチーズ・シュレッド・スライス（プロセス）は処分**。**白カビ・青カビチーズの本来のカビは食用**。,表（11〜18行目）には「スライス」を独立した行として扱っておらず、スライスがプロセスチーズであることが読み取りにくい。表との対応を明示する。,https://www.meg-snow.com/cheeseclub/knowledge/teigi/,jr_052,,
313,trend,313_trend_storing-salt-and-sugar.md,- 精糖工業会「砂糖の保存と固まりの戻し方」   https://www.seitokogyokai.com/,- 精糖工業会「よくある質問（砂糖が固まる理由・上白糖とビスコ）」   https://seitokogyokai.com/faq/,精糖工業会の公式ドメインは www なしの seitokogyokai.com。トップではなく、上白糖のビスコ・固まりの記述がある該当ページを指すほうが検証しやすい。,https://seitokogyokai.com/faq/; https://seitokogyokai.com/knowledge/component/,jr_052,,
313,trend,313_trend_storing-salt-and-sugar.md,- **上白糖は日本特有の砂糖**で、**転化糖（ビスコ）をまぶしてしっとりさせている**ため、**乾くと固まる**性質があります。**グラニュー糖は固まりにくい**。,- **上白糖は日本特有の砂糖**で、**転化糖液（「ビスコ」と呼ばれるブドウ糖と果糖の混合糖液）を最終工程でふりかけてしっとりさせている**ため、**乾くと固まる**性質があります。**グラニュー糖は固まりにくい**。,精糖工業会の説明では、ビスコは上白糖の最終工程でふりかける転化糖液（ブドウ糖と果糖の混合糖液）。「転化糖（ビスコ）をまぶして」は固体をまぶす印象になり不正確。,https://seitokogyokai.com/knowledge/component/; https://seitokogyokai.com/faq/,jr_052,,
313,trend,313_trend_storing-salt-and-sugar.md,**表示義務がなく、多くの製品に期限がありません。** **湿気・匂い移り・異物**がなければ何年でも使えます。,**表示義務がなく、多くの製品に期限がありません。** **湿気・匂い移り・異物**がなければ、長期間そのまま使えるとされています。,「何年でも使えます」は断定が強い。食品表示基準第3条第3項は砂糖・食塩等の期限表示の省略を認めるが、品質保持を無期限に保証するものではない。,https://www.caa.go.jp/policies/policy/food_labeling/food_labeling_act/assets/food_labeling_cms201_230331_01.pdf,jr_052,,
314,trend,314_trend_kitchen-cloths-and-paper-towels.md,| 交換 | **匂い・黒ずみ・薄くなったら**。**月1回〜数か月** | — |,| 交換 | **匂い・黒ずみ・薄くなったら**。**月1回程度が目安** | — |,表は「月1回〜数か月」、誤解5（44行目）は「月1回程度が目安」としており、同じ記事内で交換周期の目安が食い違っている。,,jr_052,,
314,trend,314_trend_kitchen-cloths-and-paper-towels.md,- 厚生労働省「家庭でできる食中毒予防の6つのポイント」   https://www.mhlw.go.jp/www1/houdou/0903/h0331-1.html,- 厚生労働省「家庭でできる食中毒予防の6つのポイント」   https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/AA10K-0000049664.html,記載URL（www1/houdou/0903/h0331-1.html）は1997年の報道発表アーカイブ。現行の掲載ページは食品衛生月間の配下にある。,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/AA10K-0000049664.html,jr_052,,
315,trend,315_trend_choosing-pots-and-pans.md,- **フッ素樹脂（PTFE）加工**は、**260℃を超えると分解し始め、350℃以上で有害なガス**が出るため、**空焚き・強火の予熱をしない**ことが消費者庁・NITEの注意。**PFOA（製造助剤）は2010年代に国内主要メーカーで使用が廃止**されています。,- **フッ素樹脂（PTFE）加工**は、**260℃を超えると加工が劣化し始め、350℃前後で分解して有害なガス**が出るため、**空焚き・強火の予熱をしない**ことが注意点です。**PFOAは2021年10月に化審法の第一種特定化学物質に指定され、製造・輸入が原則禁止**（国内主要メーカーはそれ以前に使用を廃止）。,一般的な解説では260℃以上で劣化が始まり、分解による有害ガスは350℃前後から。またPFOAは2021年4月16日閣議決定・同年10月22日施行で化審法第一種特定化学物質に指定され製造・輸入が原則禁止となっており、「2010年代にメーカーが廃止」より規制事実を示すほうが正確。,https://www.meti.go.jp/shingikai/kagakubusshitsu/anzen_taisaku/pdf/2021_04_01_01.pdf; https://www.chem-station.com/blog/2016/06/pan.html,jr_052,,
316,trend,316_trend_rice-cooker-tips.md,| 保温温度 | **約70〜75℃**（菌の増殖を抑える温度帯） | メーカー資料 |,| 保温温度 | **約60〜75℃**（高温保温は約70〜75℃、低温保温は約60〜65℃。**高温側ほど菌の増殖を抑えやすい**） | メーカー資料 |,各社の保温温度は約60〜75℃で、高めの設定（約12時間目安）と低めの設定（約24時間目安）がある。同じ表の「最大24時間」は低温保温側の数値なので、温度を70〜75℃に限定すると対応しない。,https://classlab.co.jp/rirife/ricecooker-keepwarm/; https://smartagri-jp.com/food/6011,jr_053,,
316,trend,316_trend_rice-cooker-tips.md,- 独立行政法人製品評価技術基盤機構（NITE）「炊飯器の事故（炊飯以外の調理等）」   https://www.nite.go.jp/jiko/chuikanki/,- 独立行政法人製品評価技術基盤機構（NITE）「“ずぼら調理”が招く危険〜トリセツをよく読んで「調理家電の事故」を防ぎましょう〜」（2024年9月26日）   https://www.nite.go.jp/jiko/chuikanki/mailmagazin/2024fy/vol462_241008.html,NITEは2024年9月26日に調理家電の事故を注意喚起し、炊飯器でのケーキ・練り物・豆類の調理で生地が膨らんで蒸気口をふさぐ、ふきこぼれる事例を具体的に挙げている。本文の記述に直接対応する新しい資料。,https://www.nite.go.jp/jiko/chuikanki/mailmagazin/2024fy/vol462_241008.html; https://www.nite.go.jp/data/000155490.pdf,jr_053,,
316,trend,316_trend_rice-cooker-tips.md,**1時間0.4〜0.6円は少額でも、12時間で炊飯1回分に相当**。**炊けたらすぐ小分けにして冷凍→レンジ**のほうが**味も電気代も有利**。,**1時間0.4〜0.6円は少額でも、9〜12時間で炊飯1回分に相当**。**資源エネルギー庁の目安は「ご飯1.5合を4時間以上保温するなら、電子レンジで加熱するほうが低コスト」**です。**炊けたらすぐ小分けにして冷凍→レンジ**のほうが**味も電気代も有利**。,資源エネルギー庁の省エネ指針として「1.5合を4時間以上保温するならレンジ加熱のほうが低コスト」が広く引用され、保温9時間程度で炊飯1回分の電力に達するとの試算もある。12時間だけを目安に書くと切り替えの判断が遅くなる。,https://kurahiro.tepco.co.jp/living/20387/index.html; https://www.eneos-power.co.jp/article/saving/ricecooker-electric-bill/,jr_053,,
317,trend,317_trend_stir-fry-heat.md,**空焚きの強火は260℃を超え、加工が劣化**します。**中火で予熱、油を入れてから加熱**。**煙が出たら熱すぎ**。,**空焚きの強火は260℃を超え、加工が劣化**します（**約350℃以上では分解ガスが出るおそれ**）。**中火で予熱、油を入れてから加熱**。**煙が出たら熱すぎ**。**空焚きに気づいたらすぐ換気**。,フッ素樹脂（PTFE）は連続使用温度260℃で、260℃超から劣化、約350℃以上で分解ガスが発生するとされる。劣化だけでなく分解ガスと換気に触れたほうが読者の安全に資する。,https://blog.wahei.co.jp/column/fryingpan/use-255/; https://www.y-skt.co.jp/magazine/coating/fluoro_safety/,jr_053,,
318,trend,318_trend_fish-grill.md,- **Siセンサーこんろのグリルには過熱防止機能・消し忘れタイマー**（多くは**15〜20分で自動消火**）があります。,- **Siセンサーこんろのグリルには過熱防止機能・消し忘れ消火機能**（**両面焼きは約15分、片面焼きは約20〜30分で自動消火**）があります。,ガス会社・メーカーの説明では、グリルの消し忘れ消火は両面焼き約15分、片面焼き（水なし片面焼きを含む）は約20〜30分。「15〜20分」では片面焼き機種の実際と合わない。,https://www.hokurikugas.co.jp/personal/product/kitchen/si.html; https://home.tokyo-gas.co.jp/column/conro/5541/,jr_053,,
318,trend,318_trend_fish-grill.md,| 温度 | **両面焼きで約300〜400℃**。**予熱1〜2分** |,| 温度 | **両面焼きで約300〜400℃**。**予熱は強火で2〜3分**（網を十分に熱してから置くと皮がくっつきにくい） |,庫内300〜400℃は各社の記載と一致するが、予熱はガス会社・メーカーの案内で強火2〜3分が一般的。1〜2分では網が十分に熱くならず、記事の目的（くっつき防止）に届かない。,https://uchi.tokyo-gas.co.jp/topics/4704; https://www.tabechoku.com/feature_articles/sakana_yakikata-grill,jr_053,,
319,trend,319_trend_using-an-oven.md,- **クッキングシート（耐熱250℃程度）**は**表示温度を超えると燃える**ため、**250℃以上のレシピでは使わない**、**ヒーターに触れさせない**。,- **クッキングシート（耐熱表示は「250℃・20分間」が主流）**は**表示の温度・時間を超えると焦げる・燃える**ため、**250℃以上や長時間のレシピでは使わない**、**ヒーターに触れさせない**（製品ごとに耐熱が違うので表示を確認）。,市販クッキングシートの耐熱表示は「250℃・20分間」が主流で、温度だけでなく時間の条件が付く。素材（グラスファイバー製・PET製）によっても耐熱は上下する。,https://shimojima.jp/staffblog/blog/b-know-bakingpaper/; https://my-best.com/4192,jr_053,,
320,trend,320_trend_osechi.md,- 厚生労働省は**年末年始の食中毒（大量調理・常温放置・餅の窒息）**に毎年注意喚起しています。,- 厚生労働省は**年末年始の食中毒（大量調理・常温放置）**に、消費者庁は**餅による窒息事故**に、それぞれ毎年注意喚起しています。,餅による窒息の注意喚起は消費者庁（「年末年始、餅による窒息事故に御注意ください！」）。食中毒は厚労省（食品衛生監視・食中毒統計は2024年4月の食品衛生基準行政の消費者庁移管後も厚労省所管）。窒息を厚労省の食中毒注意喚起に含めるのは所管の取り違え。,https://www.caa.go.jp/policies/policy/consumer_safety/caution/caution_046; https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/shokuhin/syokuchu/04.html,jr_053,,
320,trend,320_trend_osechi.md,- 消費者庁「餅による窒息事故に注意」   https://www.caa.go.jp/policies/policy/consumer_safety/caution/,- 消費者庁「年末年始、餅による窒息事故に御注意ください！－加齢に伴い、噛む力や飲み込む力が衰えてきます。小さく切って、少量ずつ食べましょう－」   https://www.caa.go.jp/policies/policy/consumer_safety/caution/caution_046,該当する注意喚起は消費者庁の caution_046。現行URLは注意喚起の一覧トップで、本文の記述に対応するページを指していない。,https://www.caa.go.jp/policies/policy/consumer_safety/caution/caution_046,jr_053,,
331,wisdom,331_wisdom_the-oshiire-and-under-bed-storage.md,"| **Drawer units** | Sold in widths **39 / 44 / 54 cm** and depths **50–74 cm** to fit half or a third of a bay | Clothes by category, standing (see the vertical-storage article) |","| **Drawer units** | Sold in widths **39 / 44 cm** and depths **about 53 cm (closet) / 65 or 74 cm (oshiire)** to fit half or a third of a bay | Clothes by category, standing (see the vertical-storage article) |",押入れ用引出式衣装ケースの実勢規格は幅39cmと44cm、奥行65cmまたは74cm（クローゼット用は奥行53cm）。54cmは幅の標準規格ではなく、奥行側の数字と混同していると思われる。,https://new.shuno-oshieru.com/size_oshiire_drawes/; https://likestore.like-it.jp/blog/,jr_054,,
331,wisdom,331_wisdom_the-oshiire-and-under-bed-storage.md,"| Under-bed | Clearance **15–30 cm**; **flat rolling cases** or fitted drawers | Off-season bedding, shoes, suitcases |","| Under-bed | Clearance **20–30 cm** on typical low platform beds; **flat rolling cases** or fitted drawers | Off-season bedding, shoes, suitcases |",記事内の内部矛盾。表は「15–30 cm」、本文の箇条書きは「low platform types with 20–30 cm clearance」と書いており、読者が買うケースの高さを誤る。どちらかに揃える必要がある。,,jr_054,,
333,wisdom,333_wisdom_reusing-bath-water.md,| Washing machine intake | **50–100 L per load** for a top-loader; machines have a **bath-water pump hose (furomizu pump)** |,"| Washing machine intake | **about 80–120 L for a full cycle** on a top-loader (roughly 10 L per kg of laundry); the bath water fills the **wash** step, and machines have a **bath-water pump hose (furomizu pump)** |",縦型洗濯機の標準使用水量は「洗い−すすぎ−脱水」で約110〜123L、目安は洗濯物1kgあたり約10L。記事の50〜100Lは1サイクル全体としては過小で、「洗いのみ再利用」という本文の運用との関係も不明確。,https://kadenfan.hitachi.co.jp/support/wash/q_a/a105.html; https://enechange.jp/articles/washing-machine-water,jr_054,,
333,wisdom,333_wisdom_reusing-bath-water.md,| Savings | **50–100 L per load; about ¥15–30 per load** in water and sewer charges at Tokyo rates |,| Savings | **about 50–90 L per load; roughly ¥12–22 per load** in water and sewer charges at Tokyo rates (about **¥0.24 per litre** including sewerage) |,東京都水道局の目安は上下水道合計で約0.24円/L。50Lなら約12円、90Lで約22円。都水道局は「残り湯約180Lの半分（約90L）を利用すれば毎日で月約650円（＝1日約22円）の節約」としており、記事の上限¥30は高い。,https://www.waterworks.metro.tokyo.lg.jp/faq/qa-11; https://www.waterworks.metro.tokyo.lg.jp/kurashi/shiyou/jouzu,jr_054,,
336,wisdom,336_wisdom_homemade-miso-and-koji.md,"- **Kōji (麹)** is rice (or barley or soy) cultured with **Aspergillus oryzae**, designated Japan's ""national fungus"" by the Brewing Society of Japan.","- **Kōji (麹)** is rice (or barley or soy) cultured with **Aspergillus oryzae**, designated Japan's ""national fungus"" by the Brewing Society of Japan in 2006.",The Brewing Society of Japan (日本醸造学会) declared Aspergillus oryzae the 'national fungus' at its 12 Oct 2006 meeting; giving the year makes the claim checkable.,https://marukawamiso.com/spec/aspergillus-oryzae.html; https://www.jozo.or.jp/,jr_055,,
336,wisdom,336_wisdom_homemade-miso-and-koji.md,"Ratio **kōji 200 g : salt 60 g : water 300 mL**, stirred daily for **7–10 days**.","Ratio **kōji 200 g : salt 60 g : water 300 mL**, stirred daily for about **a week in summer, 10–14 days in winter**.",Shio-koji recipes give roughly 1 week at room temperature in summer but 10–14 days in winter; a flat 7–10 days is optimistic for a cold kitchen.,https://kawashima-ya.jp/contents/?p=704; https://hakkoushoku.jp/recipe/2759/,jr_055,,
336,wisdom,336_wisdom_homemade-miso-and-koji.md,"kōji, salt and water fermented a week","kōji, salt and water fermented for one to two weeks",Same point: room-temperature shio-kōji takes about a week in summer and up to two in winter.,https://kawashima-ya.jp/contents/?p=704,jr_055,,
337,wisdom,337_wisdom_heated-carpets-and-floor-heating.md,Hot-water floor heating is standard in new houses; the electric heated carpet (hot carpet) is the cheap retrofit.,Hot-water floor heating is common in newly built detached houses; the electric heated carpet (hot carpet) is the cheap retrofit.,"No public statistic supports 'standard'; national household penetration of floor heating is roughly a tenth of homes, and industry surveys only show it is usual in the living rooms of houses that install it.",https://www.jraia.or.jp/product/file/yukadan_research2021.pdf; https://ecoyukadan.jp/column/floorheater-penetration/,jr_055,,
337,wisdom,337_wisdom_heated-carpets-and-floor-heating.md,floor heating aligns with this — comfort at a **room temperature 2–3°C lower** than with air heating.,floor heating aligns with this — suppliers report comfort at a **room temperature 2–3°C lower** than with air heating.,"Warm Biz itself only sets a guide of about 20°C room temperature in winter; the 2–3°C offset is a floor-heating industry claim, not Ministry of the Environment guidance.",https://ondankataisaku.env.go.jp/decokatsu/warmbiz/about/; https://www.env.go.jp/press/110136.html,jr_055,,
337,wisdom,337_wisdom_heated-carpets-and-floor-heating.md,https://ondankataisaku.env.go.jp/coolchoice/warmbiz/,https://ondankataisaku.env.go.jp/decokatsu/warmbiz/,COOL CHOICE was folded into the Ministry of the Environment's 'Deco-katsu' national movement in 2023; the Warm Biz pages now sit under /decokatsu/warmbiz/.,https://ondankataisaku.env.go.jp/decokatsu/warmbiz/about/; https://ondankataisaku.env.go.jp/decokatsu/,jr_055,,
